"ID","LAT","LON","STNELEV","NAME","GRELEV","POPCLS","POPSIZ","TOPO","STVEG","STLOC","OCNDIS","AIRSTN","TOWNDIS","GRVEG","POPCSS"
30187121001,-26.8,-65.3,-999,"SAN MARTIN DE TUCUMAN, ARG    ",892,"U",497,"MV","xx","no",-9,"A",2,"WARM FIELD WOODS","C"
30187121002,-26.8,-65.2,481,"TUCUMAN                       ",495,"U",497,"MV","xx","no",-9,"A",2,"WARM FIELD WOODS","C"
30187129000,-27.77,-64.3,199,"SANTIAGO DEL                  ",212,"U",148,"FL","xx","no",-9,"A",1,"SUCCULENT THORNS","C"
30187149000,-26.82,-60.45,92,"PRESIDENCIA R                 ",90,"S",49,"FL","xx","no",-9,"x",-9,"SUCCULENT THORNS","C"
30187155000,-27.45,-59.05,52,"RESISTENCIA A                 ",60,"U",218,"FL","xx","no",-9,"A",4,"SEMIARID WOODS  ","C"
30187162000,-26.2,-58.23,60,"FORMOSA AERO                  ",60,"U",95,"FL","xx","no",-9,"A",3,"MARSH, SWAMP    ","C"
30187166000,-27.45,-58.77,62,"CORRIENTES AE                 ",60,"U",180,"FL","xx","no",-9,"A",3,"SEMIARID WOODS  ","C"
30187178000,-27.37,-55.97,133,"POSADAS AERO.                 ",95,"U",140,"FL","xx","no",-9,"A",3,"WARM FIELD WOODS","C"
30187217000,-29.38,-66.82,429,"LA RIOJA AERO                 ",580,"U",67,"MV","xx","no",-9,"A",5,"WARM GRASS/SHRUB","C"
30187222000,-28.6,-65.77,454,"CATAMARCA AER                 ",484,"U",88,"MV","xx","no",-9,"A",10,"WARM GRASS/SHRUB","A"
30187222001,-27.6,-66.2,-999,"ANDALGALA, ARGENTINA          ",1760,"R",-9,"MV","DE","no",-9,"x",-9,"WARM IRRIGATED  ","A"
30187257000,-29.88,-61.95,88,"CERES AERO                    ",90,"S",10,"FL","xx","no",-9,"x",-9,"SUCCULENT THORNS","C"
30187270000,-29.18,-59.7,53,"RECONQUISTA A                 ",30,"S",32,"FL","xx","no",-9,"A",5,"MARSH, SWAMP    ","A"
30187270001,-29.4,-60.2,-999,"VERA, ARGENTINA               ",31,"R",-9,"FL","xx","no",-9,"x",-9,"MARSH, SWAMP    ","A"
30187270002,-29.1,-59.3,36,"GOYA                          ",35,"S",47,"FL","xx","no",-9,"A",3,"MARSH, SWAMP    ","A"
30187289000,-29.68,-57.15,70,"PASO DE LOS L                 ",77,"U",80,"FL","xx","no",-9,"A",5,"MARSH, SWAMP    ","B"
30187305000,-30.25,-68.75,1165,"JACHAL                        ",1721,"R",-9,"MV","xx","no",-9,"x",-9,"WARM GRASS/SHRUB","A"
30187311000,-31.57,-68.87,598,"SAN JUAN AERO                 ",688,"U",298,"MV","xx","no",-9,"A",5,"WARM GRASS/SHRUB","A"
30187322000,-31.33,-66.6,658,"CHEPES                        ",818,"R",-9,"HI","xx","no",-9,"A",-9,"SUCCULENT THORNS","B"
30187344000,-31.32,-64.22,474,"CORDOBA AERO                  ",471,"U",982,"HI","xx","no",-9,"A",3,"SUCCULENT THORNS","C"
30187344001,-31.4,-64.2,425,"CORDOBA ARGENTINA             ",427,"U",982,"HI","xx","no",-9,"x",-9,"SUCCULENT THORNS","C"
