year,anom
1913,-0.159729548864734
1947,-0.100761101094444
1975,-0.0493273316659979
1981,0.332160259508096
1972,-0.391784525944195
1956,-0.429161880834175
1902,-0.448047719026037
1948,-0.0952942408994408
1925,-0.0250376867454421
1916,-0.525600349374264
1992,0.0804341291948181
2008,0.372830330632413
1958,-0.0177141510202021
1971,-0.210283748782866
1985,-0.256232614765783
1929,-0.612273934159582
1963,-0.0521667933363962
1951,-0.287814698691348
1968,-0.237409290442596
1946,0.176979699205748
1903,-0.542021880759068
1924,-0.661978271501003
2004,0.536232973787547
1908,-0.220419348207091
1966,-0.140614366045295
1942,-0.0443172509223688
1995,0.291775671119781
1917,-1.10629880304722
2014,0.46756906996859
2016,1.28150851361291
1994,0.326599170291564
1906,-0.156443330820644
1943,-0.101353344613085
1937,-0.120902704224702
1901,-0.263831632473916
1953,0.348012516596872
1976,-0.404615106586215
1910,-0.155621654668728
1989,0.140980850621629
2012,1.09792128901466
2011,0.607709752398134
1955,-0.199774398090271
1979,-0.0722508784240604
2015,1.10903954793931
1967,-0.188684306887062
1932,-0.0825407681577302
1922,-0.094639156809662
1933,0.0172078293585264
1936,-0.142801894930537
1945,-0.215935433999431
1950,-0.409229711361566
1983,0.169278791670966
1904,-0.723206038476327
1920,-0.374615239050333
1923,-0.176274362290973
1909,-0.479165703799748
1974,-0.19010156015797
1949,0.0185016977730716
1965,-0.308549252438574
1907,-0.61696528112956
1935,-0.218181919862786
1944,0.0670852471782864
1970,-0.187118011281727
2000,0.498513901119469
1962,-0.0986759634884453
1980,-0.0296657317747694
1931,0.481523162815183
2013,0.397952333630788
2007,0.825342143775341
1984,-0.112447164643133
1957,-0.049580937330357
1961,0.0761455911784607
1914,-0.0682204464796215
2002,0.663084293096186
1926,-0.1624815479701
1988,0.271619315584671
1928,-0.0904871475433764
2003,0.487583307521436
1930,0.0668802201682497
1999,0.767002385542191
1905,-0.525519335368995
1996,-0.171145695291145
2005,0.702331529353626
1954,0.0198173432409549
1938,0.440654708838958
1912,-0.705807890793546
1973,0.146651034680107
1927,-0.192147312162542
1941,0.153511648260828
2001,0.687311535920894
1997,0.182972053311697
1960,-0.123065738767456
1987,0.369691129750636
1978,-0.243034913436894
2006,0.919195496289587
1921,0.51884493869706
1993,-0.205667122906916
1964,-0.264037757616761
1986,0.164339893818538
1959,0.042466646228818
1939,0.285678089293719
1991,0.458225914982963
1911,-0.123696938080175
1919,-0.229052664288852
1969,-0.288931388735472
2010,0.616143604095825
1934,0.391943902998629
1940,-0.158558015703805
1982,-0.147730395582997
1952,0.019066072335876
2009,0.360014592347883
1998,1.02346192964735
1990,0.648931731472959
1915,-0.155581385569035
1918,-0.235181664691889
1977,0.126513566022281
