year,anoma,anomb,anomc,anomd
1913,-0.0974635868909809,-0.556590345471436,-0.590868672122213,-0.842883029837483
1947,-0.0386176765754072,-0.559917196076285,-0.53029054611411,-0.867555060866238
1975,0.0111045415883773,-0.474206455403523,-0.350707580808055,-0.775823860831309
1981,0.396895893025061,-0.116127440689948,0.0395774291021226,-0.402874382036534
1972,-0.332044983591155,-0.792689718796037,-0.724373101962635,-1.11231810013111
1956,-0.370458223415324,-0.749752430256455,-0.79746333778129,-1.07090786193282
1902,-0.381440939572305,-0.871587398238318,-0.89911076012239,-1.19936277591271
1948,-0.0326897693235514,-0.571256295222245,-0.484946160674142,-0.82379436414474
1925,0.034735517843991,-0.381766895940933,-0.417141895819555,-0.627370566912957
1916,-0.464346312924939,-0.982607717941641,-0.968788475488133,-1.26396962896928
1992,0.17167031147819,-0.219712368835274,-0.222407934860128,-0.547607378823374
2008,0.52087937867233,0.00730044659180107,0.0433681812840032,-0.236356138079673
1958,0.0421951128913334,-0.543352241138837,-0.410072214095009,-0.882017980972894
1971,-0.149805295549582,-0.632185014410897,-0.529147166233224,-0.927182587454393
1985,-0.188462676529249,-0.648994971079966,-0.532467797719731,-1.01150708315253
1929,-0.55004059064632,-1.09213259314121,-1.0581432393327,-1.39190095156646
1963,0.00742702513881025,-0.525198410327637,-0.395166793823021,-0.811113019928685
1951,-0.224578931966713,-0.7755243268417,-0.692466384896,-1.07631519339064
1968,-0.179875600306182,-0.729432382946228,-0.586199124828677,-1.0460236771452
1946,0.238303905491769,-0.163428405634362,-0.189672846775549,-0.441042273769569
1903,-0.476006956456339,-1.05774847869626,-1.00625471195312,-1.33938937402031
2004,0.673320773007316,0.223006034399363,0.203696954893847,-0.0720687108542842
1924,-0.602869614099883,-1.22107736015057,-1.13727270983888,-1.48846140192367
1908,-0.156909817038226,-0.575381476087566,-0.643306615764698,-0.864390587167006
1966,-0.082625122191096,-0.680948463830924,-0.489818076073973,-1.00024141483654
1942,0.0172026351434306,-0.535108913500117,-0.473262074941066,-0.865583431408894
1995,0.385337509048859,-0.0121838716547861,-0.0122335292752427,-0.323509158629752
1917,-1.04473973796994,-1.59387440549144,-1.57091307384958,-1.87320395614854
2014,0.613901844328643,0.104248838728575,0.156170156808786,-0.134347412678073
2016,1.45142395657327,0.989173104270481,0.965259868650261,0.658115935968822
1994,0.421021535847198,0.0200157312471594,0.0195730504761792,-0.282341909534757
1906,-0.0921232660274132,-0.617391218109217,-0.608124966294358,-0.894956126583771
1943,-0.039890340202717,-0.540642021680553,-0.494683448669584,-0.791070207422799
1937,-0.0591809803900339,-0.637795201124964,-0.559043519484019,-0.923060326740759
1901,-0.197310604910766,-0.765337872244488,-0.736812597241,-1.05706614861078
1953,0.40784271320355,-0.0178491878581852,-0.0192750974121347,-0.305125745139985
1976,-0.344195699925031,-0.817753612590707,-0.730293618966443,-1.16847614380138
1910,-0.0910733771202557,-0.596845445433325,-0.594989933106969,-0.891631635466138
1989,0.211898901709294,-0.30466934705414,-0.150184993713267,-0.600511077765594
2012,1.25488495103944,0.842163722238239,0.782065122427192,0.504543545108513
2011,0.760180288331577,0.2962255139623,0.284334842949963,-0.00303974319878381
1955,-0.14077887220541,-0.628695205266271,-0.564789568667317,-0.924163488144125
1979,-0.0110078725925437,-0.637647814443468,-0.38726331360917,-0.994401255716387
2015,1.2643032180493,0.792811292190429,0.79510994305147,0.51714322725364
1967,-0.130899916648983,-0.609898319030787,-0.53316085054055,-0.919347835116804
1932,-0.022043006976381,-0.495444561934952,-0.484975161401706,-0.746965411810136
1922,-0.0358729603758122,-0.476300507705498,-0.4892424055232,-0.7494512377184
1933,0.0777649333077369,-0.221625016948283,-0.33627402289961,-0.505936593907631
1936,-0.0816923666146401,-0.495519483606519,-0.52825470433545,-0.774601292268215
1945,-0.154141101374845,-0.662771681136971,-0.654725478225374,-0.976103619273122
1950,-0.347908552435208,-0.865339870828446,-0.811669387995749,-1.15098987927368
1983,0.234824616829882,-0.263757820865895,-0.111858551751496,-0.59350964491355
1904,-0.656532501264583,-1.21477581648025,-1.18865494187459,-1.50054091825473
1920,-0.314930971364114,-0.90800120543638,-0.846564126402167,-1.17229699609401
1923,-0.116982412938712,-0.629009535167438,-0.602982145766945,-0.910079581176902
1909,-0.416639633431889,-0.861789715527827,-0.889724776370072,-1.1384457318773
1974,-0.131095900301492,-0.524580138856679,-0.502378158310824,-0.830547770376837
1949,0.0798978905182999,-0.397808486630197,-0.384936713796824,-0.656668376735627
1965,-0.250268412049361,-0.703291467057734,-0.656423339950184,-1.0264047896819
1907,-0.552679224490624,-1.04201315736534,-1.05531371126201,-1.32638166599645
1935,-0.156857449557554,-0.623569076130236,-0.611993903440683,-0.894940991171938
1944,0.129429767706138,-0.417632232119264,-0.351653939097656,-0.695639580538157
1970,-0.12731188916965,-0.627148322998222,-0.533899007376359,-0.931467814712589
2000,0.606737718630788,0.158652208982633,0.170914916532252,-0.135933065676097
1962,-0.0392759485014035,-0.57695730369054,-0.442946992892924,-0.862036361800219
1980,0.0322902088959039,-0.408426740989612,-0.330253765330873,-0.734701601582375
